Time,Msk,SpB
1988-01-31,-7.2,-4.7
1988-02-29,-6.1,-4.0
1988-03-31,-1.0,-0.6
1988-04-30,5.3,3.1
1988-05-31,13.8,13.2
1988-06-30,19.5,17.9
1988-07-31,21.6,21.0
1988-08-31,16.5,15.7
1988-09-30,11.3,12.2
1988-10-31,4.9,6.2
1988-11-30,-4.4,-3.4
1988-12-31,-6.9,-6.1
1989-01-31,-2.1,-0.7
1989-02-28,-0.5,0.6
1989-03-31,2.0,2.5
1989-04-30,7.7,7.7
1989-05-31,13.4,12.5
1989-06-30,20.0,18.4
1989-07-31,19.2,18.8
1989-08-31,16.2,16.4
1989-09-30,12.2,12.9
1989-10-31,5.3,6.0
1989-11-30,-2.6,0.6
1989-12-31,-5.3,-5.0
1990-01-31,-5.7,-5.4
1990-02-28,0.4,1.7
1990-03-31,2.0,1.4
1990-04-30,8.1,8.1
1990-05-31,10.8,9.8
1990-06-30,14.5,14.3
1990-07-31,17.5,17.0
1990-08-31,16.0,16.6
1990-09-30,9.3,9.0
1990-10-31,5.3,5.8
1990-11-30,0.2,-0.5
1990-12-31,-3.4,-1.8
1991-01-31,-6.2,-4.4
1991-02-28,-6.7,-5.8
1991-03-31,-1.2,-0.8
1991-04-30,7.0,4.8
1991-05-31,13.4,9.9
1991-06-30,18.8,15.3
1991-07-31,18.1,18.4
1991-08-31,16.1,17.5
1991-09-30,11.0,11.2
1991-10-31,6.5,7.2
1991-11-30,1.0,3.4
1991-12-31,-4.0,-1.4
1992-01-31,-5.3,-2.7
1992-02-29,-4.3,-2.6
1992-03-31,1.6,1.8
1992-04-30,5.1,3.3
1992-05-31,11.9,11.0
1992-06-30,16.7,16.7
1992-07-31,18.6,17.8
1992-08-31,18.0,16.6
1992-09-30,13.1,13.8
1992-10-31,2.2,1.5
1992-11-30,-2.5,-2.5
1992-12-31,-4.4,-0.1
1993-01-31,-4.4,-2.3
1993-02-28,-4.9,-2.6
1993-03-31,-1.9,-1.1
1993-04-30,5.7,4.1
1993-05-31,14.5,13.9
1993-06-30,14.0,12.9
1993-07-31,17.5,16.9
1993-08-31,15.4,14.8
1993-09-30,6.9,7.3
1993-10-31,4.6,4.3
1993-11-30,-8.0,-5.7
1993-12-31,-3.6,-3.2
1994-01-31,-3.4,-3.3
1994-02-28,-11.3,-12.0
1994-03-31,-2.9,-1.9
1994-04-30,7.2,7.1
1994-05-31,9.8,9.4
1994-06-30,14.5,14.2
1994-07-31,17.6,19.7
1994-08-31,15.9,16.4
1994-09-30,13.7,12.6
1994-10-31,5.0,5.3
1994-11-30,-2.5,-0.9
1994-12-31,-7.9,-3.0
1995-01-31,-5.9,-4.1
1995-02-28,-0.8,-0.3
1995-03-31,0.6,1.1
1995-04-30,9.1,4.8
1995-05-31,14.5,11.1
1995-06-30,19.7,19.2
1995-07-31,17.5,16.5
1995-08-31,16.8,16.9
1995-09-30,12.8,12.3
1995-10-31,6.7,8.3
1995-11-30,-2.8,-1.8
1995-12-31,-9.5,-8.6
1996-01-31,-10.0,-7.0
1996-02-29,-9.7,-10.7
1996-03-31,-3.0,-2.9
1996-04-30,6.4,3.3
1996-05-31,15.7,10.2
1996-06-30,16.5,14.7
1996-07-31,18.9,16.2
1996-08-31,17.3,18.4
1996-09-30,9.9,9.7
1996-10-31,6.0,6.6
1996-11-30,3.9,4.1
1996-12-31,-7.0,-5.2
1997-01-31,-7.7,-5.6
1997-02-28,-4.7,-3.8
1997-03-31,-0.9,-1.2
1997-04-30,4.6,2.5
1997-05-31,11.1,9.1
1997-06-30,17.9,16.7
1997-07-31,18.7,19.6
1997-08-31,17.1,18.8
1997-09-30,8.5,10.6
1997-10-31,3.7,3.7
1997-11-30,-0.8,-0.5
1997-12-31,-7.5,-5.4
1998-01-31,-4.7,-1.7
1998-02-28,-7.6,-7.3
1998-03-31,-1.3,-4.2
1998-04-30,3.9,3.6
1998-05-31,13.7,10.8
1998-06-30,20.0,16.4
1998-07-31,18.9,18.0
1998-08-31,15.5,14.7
1998-09-30,10.7,11.8
1998-10-31,5.6,6.5
1998-11-30,-8.0,-5.1
1998-12-31,-5.9,-4.1
1999-01-31,-4.6,-7.2
1999-02-28,-6.2,-8.0
1999-03-31,-0.8,-0.2
1999-04-30,9.7,7.6
1999-05-31,8.7,7.7
1999-06-30,21.4,20.5
1999-07-31,21.7,20.6
1999-08-31,16.4,16.2
1999-09-30,11.8,13.0
1999-10-31,7.4,7.2
1999-11-30,-4.9,-0.2
1999-12-31,-1.7,-1.2
2000-01-31,-6.1,-4.4
2000-02-29,-2.7,-2.4
2000-03-31,-0.7,-0.4
2000-04-30,11.1,8.1
2000-05-31,10.8,10.5
2000-06-30,16.2,15.4
2000-07-31,19.3,18.2
2000-08-31,16.7,16.6
2000-09-30,10.0,10.6
2000-10-31,7.2,8.4
2000-11-30,-0.1,2.6
2000-12-31,-2.6,-0.5
2001-01-31,-4.3,-2.5
2001-02-28,-7.2,-6.9
2001-03-31,-2.1,-3.8
2001-04-30,11.0,8.0
2001-05-31,11.2,10.2
2001-06-30,16.3,15.2
2001-07-31,23.0,21.8
2001-08-31,17.0,16.8
2001-09-30,12.2,12.7
2001-10-31,4.8,7.1
2001-11-30,-0.5,-1.0
2001-12-31,-10.6,-8.8
2002-01-31,-4.8,-4.4
2002-02-28,-0.4,-0.6
2002-03-31,2.2,0.5
2002-04-30,7.2,6.0
2002-05-31,12.7,12.4
2002-06-30,17.3,16.8
2002-07-31,22.6,20.8
2002-08-31,17.0,18.8
2002-09-30,12.0,11.7
2002-10-31,2.6,1.4
2002-11-30,-1.5,-2.3
2002-12-31,-12.6,-9.6
2003-01-31,-7.3,-9.5
2003-02-28,-8.6,-5.8
2003-03-31,-2.7,-1.6
2003-04-30,4.7,2.3
2003-05-31,15.5,12.1
2003-06-30,12.8,13.0
2003-07-31,20.6,21.4
2003-08-31,16.9,16.6
2003-09-30,11.3,12.4
2003-10-31,5.6,5.1
2003-11-30,1.1,2.4
2003-12-31,-2.1,-0.8
2004-01-31,-6.5,-8.1
2004-02-29,-7.0,-5.4
2004-03-31,1.3,-0.5
2004-04-30,4.6,5.0
2004-05-31,11.4,11.1
2004-06-30,15.3,14.7
2004-07-31,19.0,18.5
2004-08-31,18.4,17.8
2004-09-30,12.1,13.2
2004-10-31,5.9,6.5
2004-11-30,-1.6,-0.1
2004-12-31,-2.9,-0.7
2005-01-31,-3.0,-1.6
2005-02-28,-8.9,-6.4
2005-03-31,-6.0,-6.0
2005-04-30,7.1,4.7
2005-05-31,14.8,11.1
2005-06-30,16.5,15.4
2005-07-31,19.3,20.1
2005-08-31,17.6,17.9
2005-09-30,13.1,13.6
2005-10-31,6.0,7.7
2005-11-30,1.4,3.5
2005-12-31,-4.1,-3.6
2006-01-31,-10.8,-5.8
2006-02-28,-13.3,-10.7
2006-03-31,-3.7,-5.9
2006-04-30,6.0,5.4
2006-05-31,12.4,11.8
2006-06-30,18.2,17.0
2006-07-31,18.0,19.2
2006-08-31,17.5,18.9
2006-09-30,13.3,14.2
2006-10-31,7.0,8.1
2006-11-30,0.7,1.7
2006-12-31,1.2,3.0
2007-01-31,-1.6,-2.4
2007-02-28,-11.0,-10.6
2007-03-31,4.4,3.6
2007-04-30,5.8,5.2
2007-05-31,15.9,12.3
2007-06-30,17.4,16.0
2007-07-31,18.9,18.5
2007-08-31,20.2,19.6
2007-09-30,11.8,12.1
2007-10-31,7.0,7.5
2007-11-30,-2.0,-0.7
2007-12-31,-2.0,0.8
2008-01-31,-5.8,-1.7
2008-02-29,-1.5,-0.2
2008-03-31,1.8,0.4
2008-04-30,9.4,7.0
2008-05-31,11.3,11.0
2008-06-30,15.6,15.1
2008-07-31,19.1,17.8
2008-08-31,17.5,16.1
2008-09-30,10.9,10.7
2008-10-31,8.9,8.7
2008-11-30,2.3,3.1
2008-12-31,-1.8,-0.8
2009-01-31,-5.6,-3.5
2009-02-28,-5.4,-3.9
2009-03-31,-0.6,-0.8
2009-04-30,5.1,4.3
2009-05-31,13.6,12.1
2009-06-30,17.3,15.0
2009-07-31,18.8,18.2
2009-08-31,15.6,16.8
2009-09-30,13.8,13.9
2009-10-31,5.8,4.6
2009-11-30,2.2,2.4
2009-12-31,-6.5,-5.1
2010-01-31,-14.5,-12.1
2010-02-28,-8.4,-8.4
2010-03-31,-1.1,-2.4
2010-04-30,8.3,6.7
2010-05-31,16.7,13.4
2010-06-30,18.8,15.5
2010-07-31,26.0,24.4
2010-08-31,21.8,19.6
2010-09-30,11.7,12.3
2010-10-31,3.8,5.5
2010-11-30,2.7,0.4
2010-12-31,-7.6,-8.3
2011-01-31,-7.5,-5.8
2011-02-28,-11.0,-11.0
2011-03-31,-2.0,-1.9
2011-04-30,6.4,5.7
2011-05-31,14.6,11.0
2011-06-30,19.0,17.7
2011-07-31,23.4,22.5
2011-08-31,18.7,17.5
2011-09-30,12.1,13.1
2011-10-31,6.6,7.6
2011-11-30,0.2,3.6
2011-12-31,-0.1,1.9
2012-01-31,-6.8,-4.8
2012-02-29,-11.7,-10.4
2012-03-31,-3.1,-1.0
2012-04-30,8.2,4.9
2012-05-31,15.1,12.7
2012-06-30,17.1,15.2
2012-07-31,20.9,19.5
2012-08-31,17.7,16.3
2012-09-30,12.9,12.9
2012-10-31,6.5,6.6
2012-11-30,1.6,2.9
2012-12-31,-8.6,-7.9
2013-01-31,-8.5,-6.1
2013-02-28,-3.5,-2.6
2013-03-31,-6.5,-6.6
2013-04-30,6.1,4.2
2013-05-31,16.9,14.4
2013-06-30,19.8,19.8
2013-07-31,18.9,19.0
2013-08-31,18.3,18.6
2013-09-30,10.3,12.1
2013-10-31,6.6,7.3
2013-11-30,,
2013-12-31,,
